Animal_ID,Time_AAC_days,Animal_type,Purebreed,Blacklisted_breed,Color,Intake_date,Intake_weekday,Intake_month,Intake_time_of_day,Found_in_Austin,Intake_type,Intake_condition,Sex,Reproductive Condition,Intake_age_years,Date_birth,Outcome _type_DROP,Adopted_DROP,2_Week_Cutoff,1_Month_Cutoff,3_Month_Cutoff
A748291,126,Dog,No,Yes,Black,5/1/2017,Monday,May,Afternoon,Yes,Stray,Normal,Female,Intact,0.92,6/1/2016,Transfer,No,0,0,0
A750529,4,Dog,No,No,Multi,5/28/2017,Sunday,May,Afternoon,Yes,Stray,Normal,Female,Intact,0.43,12/21/2016,Transfer,No,1,1,1
A748238,5,Dog,No,No,White,5/1/2017,Monday,May,Morning,Yes,Stray,Normal,Male,Intact,3,5/1/2014,Transfer,No,1,1,1
A683644,116,Dog,No,No,Multi,7/13/2014,Sunday,July,Morning,Yes,Owner Surrender,Nursing,Female,Intact,0.08,6/13/2014,Adoption,Yes,0,0,0
A692161,6,Dog,No,Yes,Multi,11/15/2014,Saturday,November,Afternoon,Yes,Owner Surrender,Normal,Male,Intact,0.42,6/15/2014,Adoption,Yes,1,1,1
A720597,7,Dog,No,Yes,Blue,2/12/2016,Friday,February,Afternoon,Yes,Stray,Injured,Male,Intact,2,2/12/2014,Transfer,No,1,1,1
A749535,10,Dog,No,No,Multi,5/16/2017,Tuesday,May,Morning,Yes,Stray,Normal,Male,Intact,2,5/16/2015,Adoption,Yes,1,1,1
A763217,6,Dog,No,No,Multi,12/5/2017,Tuesday,December,Afternoon,Yes,Stray,Normal,Male,Fixed,0.67,4/5/2017,Adoption,Yes,1,1,1
A715806,43,Dog,No,No,Black,11/10/2015,Tuesday,November,Morning,Yes,Stray,Normal,Female,Intact,2,11/10/2013,Adoption,Yes,0,0,1
A759224,4,Dog,No,No,Multi,9/29/2017,Friday,September,Morning,Yes,Stray,Normal,Female,Intact,0.83,11/29/2016,Adoption,Yes,1,1,1
A673275,26,Dog,No,Yes,Multi,2/21/2014,Friday,February,Morning,Yes,Stray,Normal,Male,Intact,3,2/21/2011,Euthanasia,No,0,1,1
A761131,5,Dog,No,Yes,Multi,10/29/2017,Sunday,October,Afternoon,Yes,Stray,Normal,Female,Intact,0.07,10/2/2017,Transfer,No,1,1,1
A755135,4,Dog,No,No,Multi,7/29/2017,Saturday,July,Afternoon,Yes,Stray,Normal,Female,Intact,0.83,9/29/2016,Adoption,Yes,1,1,1
A559625,0,Dog,No,No,Multi,7/13/2017,Thursday,July,Afternoon,Yes,Stray,Normal,Male,Fixed,7.88,8/26/2009,Adoption,Yes,1,1,1
A737776,4,Dog,No,No,Multi,11/4/2016,Friday,November,Morning,Yes,Stray,Normal,Female,Intact,0.84,1/4/2016,Adoption,Yes,1,1,1
A678576,7,Dog,Yes,No,Multi,5/10/2014,Saturday,May,Afternoon,Yes,Stray,Normal,Male,Intact,2,5/10/2012,Transfer,No,1,1,1
A751501,0,Dog,No,Yes,Multi,6/9/2017,Friday,June,Morning,Yes,Stray,Injured,Male,Intact,1,6/9/2016,Transfer,No,1,1,1
A689363,1,Dog,No,No,Beige,10/2/2014,Thursday,October,Afternoon,Yes,Owner Surrender,Normal,Female,Fixed,4,10/2/2010,Adoption,Yes,1,1,1
A768015,2,Dog,No,No,Multi,3/11/2018,Sunday,March,Morning,Yes,Owner Surrender,Normal,Male,Intact,3,3/11/2015,Transfer,No,1,1,1
A667225,1,Dog,No,Yes,Gray,11/14/2013,Thursday,November,Afternoon,No,Stray,Injured,Female,Intact,9.01,11/14/2004,Euthanasia,No,1,1,1
A666823,6,Dog,No,Yes,Beige,11/7/2013,Thursday,November,Afternoon,Yes,Stray,Normal,Female,Intact,3,11/7/2010,Adoption,Yes,1,1,1
A745938,63,Dog,No,Yes,Brown,3/26/2017,Sunday,March,Afternoon,Yes,Stray,Normal,Female,Intact,1,3/26/2016,Adoption,Yes,0,0,1
A642379,9,Dog,No,Yes,Multi,3/25/2014,Tuesday,March,Afternoon,Yes,Stray,Normal,Male,Fixed,1.54,9/8/2012,Adoption,Yes,1,1,1
A696008,4,Dog,No,Yes,Beige,1/27/2015,Tuesday,January,Afternoon,No,Stray,Normal,Male,Intact,0.21,11/12/2014,Adoption,Yes,1,1,1
A624026,18,Dog,No,No,Multi,5/10/2015,Sunday,May,Morning,Yes,Owner Surrender,Normal,Female,Fixed,3.42,12/9/2011,Adoption,Yes,0,1,1
A673974,5,Dog,No,No,Multi,3/5/2014,Wednesday,March,Afternoon,No,Stray,Normal,Female,Intact,0.67,7/5/2013,Transfer,No,1,1,1
A736590,3,Dog,No,No,Multi,1/30/2017,Monday,January,Afternoon,Yes,Owner Surrender,Normal,Male,Fixed,7.01,1/30/2010,Adoption,Yes,1,1,1
A750683,13,Dog,No,No,Multi,5/30/2017,Tuesday,May,Afternoon,Yes,Stray,Normal,Female,Fixed,1,5/30/2016,Adoption,Yes,1,1,1
A709826,5,Dog,No,No,Beige,8/13/2015,Thursday,August,Afternoon,Yes,Owner Surrender,Normal,Male,Intact,1,8/13/2014,Transfer,No,1,1,1
